epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8985,0.90582,3.24294,1.46293,0.01013,1,0.29271,0.21012,0.43612,3.74698,0.73395,0.00016665,0.00016665,0.00016665
2,23.1896,0.58024,2.8026,1.27862,0.00906,1,0.29359,0.21331,0.50657,3.5767,0.81053,0.000333044,0.000333044,0.000333044
3,34.2316,0.49874,2.33941,1.22882,0.00847,1,0.30541,0.24003,0.55333,3.26903,0.91661,0.000487707,0.000487707,0.000487707
4,46.0468,0.54058,2.06219,1.25432,0.90827,0.175,0.38187,0.27375,0.66669,3.23189,1.12291,0.000630637,0.000630637,0.000630637
5,56.9589,0.45677,1.85805,1.1436,0.02018,1,0.33108,0.22742,0.60321,3.33884,1.1107,0.000761835,0.000761835,0.000761835
6,67.7532,0.48723,1.76163,1.1973,0.8421,0.2597,0.529,0.42875,0.49806,2.67268,0.85666,0.000881301,0.000881301,0.000881301
7,78.4219,0.51722,1.78602,1.21917,0.89065,0.26667,0.50798,0.34419,0.68854,3.56383,0.87598,0.000891022,0.000891022,0.000891022
8,89.4301,0.47529,1.6567,1.19093,0.54235,0.41099,0.38694,0.1941,0.9592,3.69598,1.131,0.000854359,0.000854359,0.000854359
9,100.663,0.43033,1.58592,1.14718,0.88596,0.13204,0.23398,0.1489,1.42523,3.42002,1.4764,0.000817696,0.000817696,0.000817696
10,112.149,0.51664,1.69316,1.24398,0.66893,0.1625,0.14179,0.07911,1.45999,3.3795,1.48443,0.000781033,0.000781033,0.000781033
11,123.282,0.39839,1.55759,1.14756,0.79412,0.30443,0.38276,0.26934,0.76203,2.2386,1.1279,0.00074437,0.00074437,0.00074437
12,133.923,0.44898,1.47191,1.17026,0.86662,0.35129,0.47147,0.40818,0.53102,1.89146,0.88397,0.000707707,0.000707707,0.000707707
13,145.048,0.43905,1.53669,1.15027,0.88678,0.36785,0.4711,0.4225,0.48722,1.70711,0.81021,0.000671044,0.000671044,0.000671044
14,156.229,0.37723,1.51858,1.11987,0.84951,0.4,0.44866,0.36027,0.658,1.873,0.9959,0.000634381,0.000634381,0.000634381
15,166.969,0.42953,1.42069,1.17458,0.87107,0.35587,0.43085,0.34003,0.65734,1.84911,1.00763,0.000597718,0.000597718,0.000597718
16,178.274,0.39067,1.3874,1.12519,0.87411,0.39899,0.47713,0.39684,0.59105,1.85557,0.93147,0.000561055,0.000561055,0.000561055
