epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6051,0.72399,2.93494,1.36089,0.01099,1,0.47678,0.36263,0.66962,3.54934,1.00761,0.000362927,0.000362927,0.000362927
2,67.8309,0.52124,2.12363,1.22573,0.88647,0.5558,0.74315,0.64548,0.44941,2.58391,0.82651,0.000718741,0.000718741,0.000718741
3,101.502,0.56494,1.8348,1.27194,0.73275,0.19667,0.21786,0.07485,1.73654,3.9622,1.92198,0.00105989,0.00105989,0.00105989
4,134.608,0.53339,1.73424,1.22529,0.46643,0.45993,0.47151,0.25101,1.12161,3.99768,1.37769,0.00104501,0.00104501,0.00104501
5,167.574,0.57864,1.65971,1.2837,0.92032,0.39545,0.64986,0.463,1.06312,2.26754,1.31522,0.00102301,0.00102301,0.00102301
6,200.927,0.4816,1.49046,1.20928,0.61495,0.46417,0.53031,0.35854,0.8557,1.96642,1.00245,0.00100101,0.00100101,0.00100101
7,233.838,0.45226,1.43589,1.18814,0.74572,0.3768,0.53557,0.40585,0.71463,2.03167,1.07534,0.000979013,0.000979013,0.000979013
8,268.174,0.43971,1.31746,1.19617,0.35102,0.6625,0.64688,0.53631,0.47726,1.74986,0.69822,0.000957015,0.000957015,0.000957015
9,301.681,0.4423,1.34376,1.20635,0.56842,0.575,0.61745,0.50253,0.5379,1.55497,0.78328,0.000935018,0.000935018,0.000935018
10,336.012,0.43624,1.28447,1.19181,0.53048,0.6,0.7595,0.48443,1.03964,2.20915,0.94949,0.00091302,0.00091302,0.00091302
11,371.57,0.44605,1.27893,1.1885,0.67542,0.64154,0.66159,0.51518,0.51695,1.78743,0.84578,0.000891022,0.000891022,0.000891022
12,405.016,0.39476,1.24026,1.15243,0.53654,0.8283,0.76629,0.6484,0.45675,1.44224,0.79452,0.000869024,0.000869024,0.000869024
