epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.791,1.46707,2.25322,2.09637,0.65266,0.57071,0.54127,0.33176,1.11925,1.84096,1.4464,0.000366351,0.000366351,0.000366351
2,440.02,0.99726,1.59021,1.74895,0.63124,0.52505,0.56575,0.42856,0.83342,1.74681,1.18193,0.000727568,0.000727568,0.000727568
3,687.25,0.92999,1.39812,1.69966,0.45491,0.73383,0.57575,0.33701,1.03148,2.11066,1.3545,0.00107962,0.00107962,0.00107962
4,905.453,0.91879,1.32386,1.69387,0.5254,0.67728,0.64677,0.42922,0.89882,1.31811,1.25317,0.00106975,0.00106975,0.00106975
5,1122.27,0.87488,1.26436,1.66346,0.71773,0.58634,0.66273,0.4786,0.82279,1.19043,1.1938,0.00105601,0.00105601,0.00105601
6,1340.89,0.81073,1.17464,1.59776,0.56754,0.67549,0.61776,0.48916,0.67093,1.2234,1.02207,0.00104226,0.00104226,0.00104226
7,1573.86,0.81163,1.16021,1.60154,0.70469,0.72186,0.72139,0.5751,0.70065,1.04302,1.18927,0.00102851,0.00102851,0.00102851
8,1798.77,0.76572,1.11154,1.56696,0.63501,0.65307,0.64491,0.42638,0.95674,1.42052,1.25996,0.00101476,0.00101476,0.00101476
9,2054.05,0.77686,1.08972,1.57722,0.51722,0.77246,0.61791,0.50414,0.66652,1.0908,1.05794,0.00100101,0.00100101,0.00100101
10,2315.25,0.7487,1.04908,1.55269,0.52613,0.76451,0.69402,0.55733,0.61743,1.01865,0.99441,0.000987262,0.000987262,0.000987262
11,2536,0.73912,1.06197,1.53973,0.69304,0.66054,0.72921,0.55499,0.7309,1.26574,1.07954,0.000973514,0.000973514,0.000973514
12,2762.37,0.73848,1.03999,1.54777,0.5333,0.82155,0.72622,0.54919,0.77885,1.12012,1.1601,0.000959765,0.000959765,0.000959765
13,2984.18,0.70774,0.99446,1.52233,0.69225,0.75026,0.72587,0.59404,0.61385,1.0154,1.0038,0.000946016,0.000946016,0.000946016
14,3205.9,0.70563,0.96993,1.51309,0.64045,0.70148,0.71671,0.57019,0.65532,1.07008,0.97322,0.000932268,0.000932268,0.000932268
15,3434.75,0.68782,0.95897,1.49208,0.64708,0.77196,0.74141,0.60727,0.59315,0.93371,0.99767,0.000918519,0.000918519,0.000918519
16,3653.63,0.70634,0.97236,1.52082,0.54386,0.87434,0.71639,0.56515,0.70565,1.03878,1.04569,0.000904771,0.000904771,0.000904771
17,3885.65,0.67809,0.93861,1.49106,0.66744,0.80669,0.74714,0.60516,0.71807,0.94523,1.14159,0.000891022,0.000891022,0.000891022
18,4127.06,0.66381,0.88824,1.47586,0.57838,0.80402,0.71206,0.52978,0.74698,1.05032,1.07354,0.000877273,0.000877273,0.000877273
19,4365.92,0.63316,0.86496,1.45018,0.65985,0.81656,0.72713,0.58483,0.60705,0.74676,0.92761,0.000863525,0.000863525,0.000863525
20,4599.74,0.67463,0.90405,1.48955,0.71135,0.84512,0.78522,0.60917,0.67596,0.8814,1.01983,0.000849776,0.000849776,0.000849776
21,4818.22,0.64417,0.86825,1.45193,0.68124,0.77441,0.77989,0.62127,0.65252,0.85805,0.97684,0.000836027,0.000836027,0.000836027
22,5033.6,0.61738,0.84461,1.44134,0.69737,0.82738,0.7871,0.65316,0.54421,0.7779,0.92349,0.000822279,0.000822279,0.000822279
23,5250.73,0.62621,0.83464,1.44745,0.67806,0.84133,0.7669,0.60362,0.6197,0.78825,0.93241,0.00080853,0.00080853,0.00080853
24,5470.69,0.62399,0.84735,1.4355,0.68779,0.75184,0.79846,0.57576,0.70246,0.9619,0.95965,0.000794782,0.000794782,0.000794782
25,5686.95,0.60353,0.82034,1.42848,0.69119,0.85202,0.7412,0.60002,0.53997,0.87854,0.90739,0.000781033,0.000781033,0.000781033
26,5917.44,0.59829,0.81021,1.41981,0.63679,0.85012,0.78374,0.63872,0.5462,0.80393,0.856,0.000767284,0.000767284,0.000767284
27,6134.09,0.58299,0.7862,1.39996,0.73727,0.7842,0.75616,0.60647,0.5803,0.85775,0.8921,0.000753536,0.000753536,0.000753536
28,6360.72,0.57775,0.80195,1.40033,0.76137,0.68018,0.76803,0.60644,0.58759,0.90136,0.89646,0.000739787,0.000739787,0.000739787
29,6579.29,0.6006,0.7944,1.42922,0.75279,0.76782,0.77433,0.6361,0.63432,0.8692,0.9989,0.000726038,0.000726038,0.000726038
30,6800.39,0.57754,0.76696,1.41268,0.69422,0.84373,0.77881,0.63138,0.61373,0.87587,0.91623,0.00071229,0.00071229,0.00071229
31,7019.88,0.57514,0.76998,1.39714,0.71963,0.84155,0.80066,0.63157,0.62679,0.89983,0.95451,0.000698541,0.000698541,0.000698541
32,7238.79,0.56645,0.75778,1.38516,0.65224,0.80347,0.76408,0.64041,0.53994,0.82028,0.83171,0.000684793,0.000684793,0.000684793
